,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersInpadj,,,,,,,,,,,,,,,,,,
116,GO:0035065,regulation of histone acetylation,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
117,GO:0006044,N-acetylglucosamine metabolic process,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
118,GO:0051169,nuclear transport,21,3,2.35,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
119,GO:0005975,carbohydrate metabolic process,112,21,12.52,0.2113,0.807911765,,,,,,,,,,,,,,,,,,
120,GO:0006289,nucleotide-excision repair,8,2,0.89,0.2224,0.843266667,,,,,,,,,,,,,,,,,,
121,GO:0006357,regulation of transcription by RNA polymerase II,65,10,7.26,0.2501,0.92014527,,,,,,,,,,,,,,,,,,
122,GO:0000413,protein peptidyl-prolyl isomerization,16,3,1.79,0.2622,0.92014527,,,,,,,,,,,,,,,,,,
123,GO:0051726,regulation of cell cycle,29,8,3.24,0.2628,0.92014527,,,,,,,,,,,,,,,,,,
124,GO:0043547,positive regulation of GTPase activity,9,2,1.01,0.2661,0.92014527,,,,,,,,,,,,,,,,,,
125,GO:0006488,dolichol-linked oligosaccharide biosynthetic process,9,2,1.01,0.2661,0.92014527,,,,,,,,,,,,,,,,,,
126,GO:0007166,cell surface receptor signaling pathway,71,10,7.94,0.2825,0.92014527,,,,,,,,,,,,,,,,,,
127,GO:0044237,cellular metabolic process,1916,279,214.14,0.2899,0.92014527,,,,,,,,,,,,,,,,,,
128,GO:0034470,ncRNA processing,85,18,9.5,0.2946,0.92014527,,,,,,,,,,,,,,,,,,
129,GO:0016072,rRNA metabolic process,30,9,3.35,0.2964,0.92014527,,,,,,,,,,,,,,,,,,
130,GO:0006165,nucleoside diphosphate phosphorylation,10,5,1.12,0.2974,0.92014527,,,,,,,,,,,,,,,,,,
131,GO:0035194,post-transcriptional gene silencing by RNA,7,2,0.78,0.299,0.92014527,,,,,,,,,,,,,,,,,,
132,GO:0035434,copper ion transmembrane transport,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
133,GO:0018342,protein prenylation,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
134,GO:0007160,cell-matrix adhesion,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
135,GO:0006183,GTP biosynthetic process,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
136,GO:0001558,regulation of cell growth,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
137,GO:0007131,reciprocal meiotic recombination,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
138,GO:0097428,protein maturation by iron-sulfur cluster transfer,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
139,GO:0006228,UTP biosynthetic process,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
140,GO:0036297,interstrand cross-link repair,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
141,GO:0019915,lipid storage,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
142,GO:0006241,CTP biosynthetic process,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
143,GO:0042593,glucose homeostasis,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
144,GO:0006303,double-strand break repair via nonhomologous end joining,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
145,GO:0007094,mitotic spindle assembly checkpoint,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
146,GO:0032324,molybdopterin cofactor biosynthetic process,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
