Colony,Queen,Treatment,Location,Day,Status,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,3.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,6,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,10,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,NA,?,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,6,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,7,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,8,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Inside,5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Paraquat,Inside,11.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Outside,5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Inside,14,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queen,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Inside,3.25,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Paraquat,Inside,5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Outside,5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Outside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Outside,7,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,1.25,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,7.5,1,,,,,,,,,,,,,,,,,,,,
Lne24,Queenless,Control,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Outside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,7.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Paraquat,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,7.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,9,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,13,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,14,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queen,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,3,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Outside,7,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,7,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Paraquat,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,8.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,11,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Outside,14,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,10.5,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,13,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,14,1,,,,,,,,,,,,,,,,,,,,
Lne26,Queenless,Control,Inside,14,0,,,,,,,,,,,,,,,,,,,,
