,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
74,GO:0006083,acetate metabolic process,3,2,0.3,0.19223,0.811797857,,,,,,,,,,,,,,,,,,
75,GO:0007269,neurotransmitter secretion,5,2,0.51,0.19232,0.811797857,,,,,,,,,,,,,,,,,,
76,GO:0008285,negative regulation of cell population proliferation,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
77,GO:0032469,endoplasmic reticulum calcium ion homeostasis,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
78,GO:0019679,"propionate metabolic process, methylcitrate cycle",2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
79,GO:0016973,poly(A)+ mRNA export from nucleus,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
80,GO:0009298,GDP-mannose biosynthetic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
81,GO:0007517,muscle organ development,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
82,GO:0007283,spermatogenesis,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
83,GO:0090481,pyrimidine nucleotide-sugar transmembrane transport,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
84,GO:0006564,L-serine biosynthetic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
85,GO:0042732,D-xylose metabolic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
86,GO:0015696,ammonium transport,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
87,GO:0006541,glutamine metabolic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
88,GO:0019441,tryptophan catabolic process to kynurenine,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
89,GO:0007021,tubulin complex assembly,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
90,GO:0009083,branched-chain amino acid catabolic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
